"Date", "2026-02-04T12:31:22.308Z"
"Primary", 1256
"Covid A", 301
"Covid B", 723
"Covid C", 625
"Covid D", 900
"Covid E", 619
"Covid F", 490
"Covid G", 270
"Covid H", 532
"Covid I", 670
"Covid J", 343
"Covid K", 485
"Total", 7214
"Date", "2026-02-04T12:42:29.492Z"
"Primary", 1256
"Covid A", 301
"Covid B", 723
"Covid C", 625
"Covid D", 900
"Covid E", 619
"Covid F", 490
"Covid G", 270
"Covid H", 532
"Covid I", 670
"Covid J", 343
"Covid K", 485
"Total", 7214
"Date","2026-02-10T11:00:15.651Z"
"Date","2026-02-10T11:04:01.220Z"
"Date","2026-02-26T15:05:03.055Z"
"Covid A",312
"Total",312
"Date","2026-02-26T15:11:56.358Z"
"Primary",1254
"Covid A",315
"Covid B",726
"Covid C",628
"Covid D",902
"Covid E",622
"Covid F",489
"Covid G",271
"Covid H",535
"Covid I",673
"Covid J",346
"Covid K",486
"Total",7247
"Date","2026-02-26T15:16:52.300Z"
"Primary",1250
"Covid A",312
"Covid B",722
"Covid C",625
"Covid D",899
"Covid E",619
"Covid F",486
"Covid G",268
"Covid H",532
"Covid I",670
"Covid J",343
"Covid K",483
"Total",7209
"Date","2026-03-02T09:09:11.294Z"
"Primary",1250
"Covid A",313
"Covid B",722
"Covid C",625
"Covid D",899
"Covid E",619
"Covid F",486
"Covid G",268
"Covid H",532
"Covid I",670
"Covid J",343
"Covid K",483
"Total",7210
"Date","2026-03-02T09:11:24.801Z"
"Primary",1250
"Covid A",313
"Covid B",722
"Covid C",625
"Covid D",899
"Covid E",619
"Covid F",486
"Covid G",268
"Covid H",532
"Covid I",670
"Covid J",343
"Covid K",483
"Total",7210
"Date","2026-03-05T10:42:21.403Z"
"Primary",1250
"Covid A",316
"Covid B",722
"Covid C",625
"Covid D",899
"Covid E",619
"Covid F",485
"Covid G",268
"Covid H",532
"Covid I",670
"Covid J",343
"Covid K",483
"Total",7212
"Date","2026-03-05T12:41:20.315Z"
"Primary",1250
"Covid A",316
"Covid B",722
"Covid C",625
"Covid D",899
"Covid E",619
"Covid F",485
"Covid G",268
"Covid H",532
"Covid I",670
"Covid J",343
"Covid K",483
"Total",7212
